segment,audio,model,human_ref,model_output,standard_wer,lattice_wer,improvement,helped,n_corrections
0,ng_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,model_H,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या,0.0,0.0,0.0,False,0
0,ng_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,model_i,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या,0.1667,0.0,0.1667,True,0
0,ng_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,model_k,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या?,0.0,0.0,0.0,False,0
0,ng_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,model_l,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या,0.0,0.0,0.0,False,0
0,ng_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,model_m,वही अपना खेती बाड़ी और क्या,वही अपना खेतीबाड़ी और क्या,0.3333,0.1667,0.1667,True,0
0,ng_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,model_n,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या,0.0,0.0,0.0,False,0
1,ting_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,model_H,मौनता का अर्थ क्या होता है,मौनता का अर्थ क्या होता है,0.0,0.0,0.0,False,0
1,ting_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,model_i,मौनता का अर्थ क्या होता है,मौनता का अर्थ क्या होता है?,0.0,0.0,0.0,False,0
1,ting_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,model_k,मौनता का अर्थ क्या होता है,मौन तागार थके होतई।,1.0,0.3333,0.6667,True,0
1,ting_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,model_l,मौनता का अर्थ क्या होता है,मोनता का अर्थ है क्या होता है,0.3333,0.1667,0.1667,True,0
1,ting_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,model_m,मौनता का अर्थ क्या होता है,मोन ताका हर थक्या होताहए,1.0,0.1667,0.8333,True,0
1,ting_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,model_n,मौनता का अर्थ क्या होता है,मौनता का हर थका होता है,0.3333,0.0,0.3333,True,0
2,ng_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,model_H,और रक्षाबंधन पे चलो बहनों को,और रक्षाबंधन पे चलो बहनों को,0.0,0.0,0.0,False,0
2,ng_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,model_i,और रक्षाबंधन पे चलो बहनों को,और रक्षाबंधन पे चलो बहनों को --,0.0,0.0,0.0,False,0
2,ng_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,model_k,और रक्षाबंधन पे चलो बहनों को,और रक्षाबंधन पे चलो बहनों को?,0.0,0.0,0.0,False,0
2,ng_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,model_l,और रक्षाबंधन पे चलो बहनों को,और रक्षाबंधन पे चलो बहनों को,0.0,0.0,0.0,False,0
2,ng_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,model_m,और रक्षाबंधन पे चलो बहनों को,और रक्षा बंधन पे चलो बहनों को,0.3333,0.1667,0.1667,True,0
2,ng_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,model_n,और रक्षाबंधन पे चलो बहनों को,और रक्षा बंधन पे चलो बहनों को,0.3333,0.1667,0.1667,True,0
3,ng_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,model_H,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में,0.0,0.0,0.0,False,0
3,ng_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,model_i,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में।,0.0,0.0,0.0,False,0
3,ng_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,model_k,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में?,0.0,0.0,0.0,False,0
3,ng_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,model_l,एक सिंपल और सादा वे में,एक सिंपल और सादावे में,0.3333,0.1667,0.1667,True,0
3,ng_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,model_m,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में,0.0,0.0,0.0,False,0
3,ng_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,model_n,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में,0.0,0.0,0.0,False,0
4,ing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,model_H,आने वाली चुनौतियों  का इंतजार करना,आने वाली चुनौतियों का इंतजार करना,0.0,0.0,0.0,False,0
4,ing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,model_i,आने वाली चुनौतियों  का इंतजार करना,आने वाली चुनौतियों का इंतजार करना।,0.0,0.0,0.0,False,0
