reference,baseline_hyp,finetuned_hyp,baseline_utt_wer,finetuned_utt_wer,wer_improvement,severity,error_categories
आप बताईए,अब बताएई,जी आप बताइए,100,100,0,severe,['other_substitution']
"हूँ, लगा तो नहीं, हाँ ऐसा ही कुछ सर सर।",वेलोगा दो नेएग ज़ाएगा एखेशे एकोची तेर वेज प्रज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएगा ज़ाएग,हुम्म मिलोगा दोनेक हा हा सही कोची वेव,250,100,150,severe,['hallucination']
ह्म्म और ज्यादा आसान हो जाता है सही,अजा दाँना दाँचे ये तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए तच्विए त,हम्म और रहता है चाहता है आँजार आँजा आँजा आँजा,312.5,112.5,200,severe,['dialectal_phonetic_substitution']
हूं,अग,हम्म,100,100,0,severe,['other_substitution']
ह्म्म्म्म,अपने वेँदें पारदे खेलें,जी,400,100,300,severe,['other_substitution']
हूं ।,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,हम्म,2250,100,2150,severe,['partial_transcription']
अपने लिया कोई,आपने लियक्वी,आपने लियक्वी,100,100,0,severe,['other_substitution']
हाँ जी प्रैक्टिकल नि बता रहे उनको,अजी प्रक्टिकल निप्तारे वंकों,हांजी प्रैक्टिकल नितारियों को,100,85.71,14.290000000000006,severe,"['hallucination', 'partial_transcription']"
अभी गूगल फिक्सल का ये खासियत ये है कि जहां अपन साथ में दोनों बैठे है ठीक है तो तुम तुम्हारे फोन में कोई सॉन्ग चल रहा है तुम्हारे फोन में यूट्यूब पे कोई सॉन्ग चल रहा है तो अ,अपी गुबल पिक्षल का एक खाशी ए दिया है कि साभन साथ में तो लगबे तेखे तो तुम तुम तुमरे फों में कोई सुंव चलतर है तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम तुम �,अभी गूगलपिक्षल का एक हासी ए थी है है कि सहापन साथ में दोनों अगेटे में ठीक है तो तुम तुमने फोन में कोई सॉन्ग चलता है तुमने फोन में यूटूग पर कोई सॉन्ग चलता है तो,107.5,50,57.5,moderate,['other_substitution']
मैंने एक बार ट्राई किया आ था रेडियो,"अग, मैंने ये वाज आए कि आता और ये दिव",हम्म मैंने एक बार टाइक है था आ रेडियो,112.5,62.5,50,moderate,['other_substitution']
टाराय करते पे ही ढाबे का तो मैने ट्राई किया तो मुझ को बहुत टेस्टी लगा था वो मतलब बहुत ज्यादा टेस्टी तो हां और फिर वहीं से अ हम ने डोसा खाया था,तो बगर ताए करते हैं ताए का तो बगर ताए किया तो जो बगर तेस्टी लवाता वो ना वो जो जादा तेस्टी तो आप और फिर वही से और आमने डोसा बहाया था,ट्राई करते हैं इस धाबे का तो अगर ट्राई किया तो जो बहुत टेस्टी लगा था वो ना बहुत सादा टेस्टी तो हां और फिर वही से अपने डोशा खाया था,70.59,41.18,29.410000000000004,moderate,['dialectal_phonetic_substitution']
बहुत सारी ऐसी चीजें हैं जो आप कर सकते हो स्मार्टफोन और कई अप्स के मदद से,बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्छाँ बच्,तो बहुत सारी ऐसे चीजें है जो आप कर सकते हो स्माल्ट फोनो भी करियोट स्कीमदस सर,135.29,58.82,76.47,moderate,['other_substitution']
और आके फिर मोबाइल चलाने लगेंगे टीवी देखने लगेंगे रोने लगेंगे नहीं तो फिर बाहर नहीं जाना ऐसा बोलते है आजकल बच्चों में ज्यादा बाहर जाना भी पसंद नहीं करते मेरे हिसाब से तो,अगर फिर मोडल चान लगेंगे भी तीभी देखे लगेंगे रोगने लगेंगे नहीं तोफिर बाहर ने जाने अज़ान आज़ा बूलतें आजके विज्च्छ्छ्छ्छ्छ्छ्छ्छ्छ्छछ बाहर जाने बी पशन नहीं गरतें मेरे लिए फिरे जाँब से तो,"पर आपके फिर मोबाइल चारने लगेंगे, टीवी देखे लगेंगे, रोने लगेंगे, नहीं थोड़ा बाहर नहीं जाना ऐसा बोलते हैं। आज कि बच्चों ज्यादा बाहर जाना भी पसंद नहीं करते हैं मेरे हिस्वाब से तो।",76.47,47.06,29.41,moderate,['dialectal_phonetic_substitution']
"नहीं अभी फिर से कम बैक हो गया है हनी सिंह का पहले था, हूँ हूँ।","अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग, अग,",हु हु नहीं अभी फिर से कमबैक हो गया हनी सिंह का पहले था हु हु,281.25,50,231.25,moderate,['dialectal_phonetic_substitution']
बिलकुल अह मेरे अकॉर्डिंग तो जैसे हम अह दो हजार यहां पंच ताली की कर रहे है बात तो,अगर बाद तो जाए से हम दो हैं यहां पच्टाली की बाद तो यहां पच्टाली की बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहां बाद तो यहा,बिल्कुल आह मेरेकॉर्डिंट तो जैसे हम दो हजार है यहां पंचताली की कर रहे हैं बात तो,257.89,47.37,210.52,moderate,['dialectal_phonetic_substitution']
केदारेश्वर महादेव मंदिर है एक,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,केदा रेश्वर महादेव मंदिर है का,900,60,840,moderate,['other_substitution']
आ रही है अब आवाज,अरी ये बवावाज,आ रही है भावाज,100,40,60,mild,['other_substitution']
तो हम मतलब इतना बड़ा कांड कर भी दिए और हम सब बच भी गए और सबका मूड भी अच्छा हो गया और मतलब मज़ा भी आ गया तो वो काफी यादगार दिन था हमारी जिंदगी का,तो हम मतलब इतना बडा कांट कर भी दिये और हम सा बच्ट भी गया और सब का मुड भी अच्ट हो गया और मतलब मजाबी आगया तो वो कापी याद गर दिन ता एमारी दिन्दगी का अग्टा आप याद दिन ता अप याद याद याद याद याद याद याद याद याद य,तो हम मतलब इतना बड़ा कांड कर भी दिए और हम सब बच भी गए और सब का मूड भी अच्छा हो गया और मतलब मजा भी आ गया तो वो काफी यादग दिन था हमारी दिन दगी का,97.3,16.22,81.08,mild,['dialectal_phonetic_substitution']
