Reference Transcript,Model Output,WER (%),Severity,Error Category,Reasoning (Cause of Error)
आप बताईए,जी आप बताइए,100.0,severe,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
"हूँ, लगा तो नहीं, हाँ ऐसा ही कुछ सर सर।",हुम्म मिलोगा दोनेक हा हा सही कोची वेव,100.0,severe,Hallucination,HALLUCINATION: Only 0 word(s) overlap between reference (10 words) and hypothesis (8 words). The model generated text from its language model prior rather than from actual audio evidence — likely caused by background noise or very low acoustic signal in the clip.
ह्म्म और ज्यादा आसान हो जाता है सही,हम्म और रहता है चाहता है आँजार आँजा आँजा आँजा,112.5,severe,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
हूं,हम्म,100.0,severe,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
ह्म्म्म्म,जी,100.0,severe,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
हूं ।,हम्म,100.0,severe,Partial Transcription,"PARTIAL TRANSCRIPTION: Model produced only ~50% of the reference (1 of 2 words). A long silence in the middle of the clip likely reset the decoder's attention, or the clip was cut at a sentence boundary causing the decoder to stop early."
अपने लिया कोई,आपने लियक्वी,100.0,severe,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
हाँ जी प्रैक्टिकल नि बता रहे उनको,हांजी प्रैक्टिकल नितारियों को,85.71,severe,"Hallucination, Partial Transcription","HALLUCINATION: Only 1 word(s) overlap between reference (7 words) and hypothesis (4 words). The model generated text from its language model prior rather than from actual audio evidence — likely caused by background noise or very low acoustic signal in the clip. | PARTIAL TRANSCRIPTION: Model produced only ~57% of the reference (4 of 7 words). A long silence in the middle of the clip likely reset the decoder's attention, or the clip was cut at a sentence boundary causing the decoder to stop early."
अभी गूगल फिक्सल का ये खासियत ये है कि जहां अपन साथ में दोनों बैठे है ठीक है तो तुम तुम्हारे फोन में कोई सॉन्ग चल रहा है तुम्हारे फोन में यूट्यूब पे कोई सॉन्ग चल रहा है तो अ,अभी गूगलपिक्षल का एक हासी ए थी है है कि सहापन साथ में दोनों अगेटे में ठीक है तो तुम तुमने फोन में कोई सॉन्ग चलता है तुमने फोन में यूटूग पर कोई सॉन्ग चलता है तो,50.0,moderate,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
मैंने एक बार ट्राई किया आ था रेडियो,हम्म मैंने एक बार टाइक है था आ रेडियो,62.5,moderate,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
टाराय करते पे ही ढाबे का तो मैने ट्राई किया तो मुझ को बहुत टेस्टी लगा था वो मतलब बहुत ज्यादा टेस्टी तो हां और फिर वहीं से अ हम ने डोसा खाया था,ट्राई करते हैं इस धाबे का तो अगर ट्राई किया तो जो बहुत टेस्टी लगा था वो ना बहुत सादा टेस्टी तो हां और फिर वही से अपने डोशा खाया था,41.18,moderate,Dialectal Phonetic Substitution,"DIALECTAL/PHONETIC SUBSTITUTION: The model replaced words with phonetically similar alternatives. This speaker's accent likely differs from the dominant accent in training data (e.g. Bihar/Odisha/Assam vs. standard Hindi). The model mapped the acoustic input to the closest word it had seen most frequently, even though the speaker intended a different word."
बहुत सारी ऐसी चीजें हैं जो आप कर सकते हो स्मार्टफोन और कई अप्स के मदद से,तो बहुत सारी ऐसे चीजें है जो आप कर सकते हो स्माल्ट फोनो भी करियोट स्कीमदस सर,58.82,moderate,Other Substitution,LEXICAL SUBSTITUTION: Model substituted one or more words with different words that may sound similar or appear in similar contexts. This reflects a vocabulary gap — the model has not seen enough training examples of these specific Hindi words or phrases to reliably transcribe them.
