clip_path,text,recording_id,duration
data\processed\clips\clip_001525.wav,"हां मैंने उनकी काफी किताबे पढ़ी है, उनका बचपन का नाम भी पता है मेरे को जैसे नरेंन था",272241,5.76
data\processed\clips\clip_001369.wav,फिर हम उसे वो कंट्रोल कर सकते हैं। कुछ सब्जियां ऐसी भी होती हैं सर जिनमे हम नींबू का भी प्रयोग करते हैं। तो हाँ तो,738845,10.8
data\processed\clips\clip_000983.wav,जो हमें मिला है वो हमारे लिए बहुत ज्यादा है उनसे उसकी कीमत उसको पता है जिसके पास वो भी नहीं है,255381,13.53
data\processed\clips\clip_002944.wav,"मै, नही नही मै अभी मैं परसू कर रहा हू, अभी मैं,पोस्ट ग्रेजुएशन। और हा और बहुत तैयारी कर रहा हूं। सी डी एस कि तैयारी कर रहा हू, एक्चुअली मैं।",330457,14.13
data\processed\clips\clip_001600.wav,जी जी हूं,282447,14.55
data\processed\clips\clip_002481.wav,देखा व्हाट्सएप पर भेजने बनी भेज ले बानी व्हाट्सएप पर,978393,14.73
data\processed\clips\clip_003627.wav,"लेकिन जो पढ़ने में वो मज़ा आता था, आजकल के बच्चों को इसलिए तो चश्मा लग रहा है कम उम्र में, क्योंकि थोड़ा सा वो रोया, तो उसके मम्मीपापा ने उसको फोन दे दिया। लेकिन अगर. हां।",583533,9.93
data\processed\clips\clip_001915.wav,हुं,239492,7.35
data\processed\clips\clip_002283.wav,अगर अपने सारे फंड मिलते तो कोई आप किसी भी सड़क में चले जाओ प्लास्टिक खाते हुए किसी भी इतने कचरे को देके दम यही गाय है तो गाय को माता मानते हैं यही तिलक है जो जो गंगा को माता मानते हैं,583544,13.32
data\processed\clips\clip_004337.wav,स्कूल की इंजॉय,319126,2.67
data\processed\clips\clip_002052.wav,हां हां,269383,1.53
data\processed\clips\clip_002969.wav,हा,319431,2.16
data\processed\clips\clip_003617.wav,जी मेरा पसंदीदा पात्र वही है ना जैसे बैटमैन मेरा मैं ऐसा है कि बेट टाइम पसंदीदा पात्र मेरा था और हमेशा अभी भी मतलब बैटमैन है मेरा पसंदीदा जी,583533,12.3
data\processed\clips\clip_001286.wav,हाँ हां तो ठीक है मैं मै अपनी जो घटना है मैं बताता हूँ देखिए जेसे,615319,7.53
data\processed\clips\clip_000629.wav,"सोच लेते है न कि भिखारी है कोई बात नहीं इनका धंधा है या कुछ है वो व्यक्ति सचमुच में बीमार था और कांप रहा था , हम हमने कहा साइड में कर लेते कार उसे देख लेते है बेचारा लग रहा है बूढ़ा आदमी है",990783,14.07
data\processed\clips\clip_001019.wav,हम भले इसे मंदिर मस्जिदों मे जाकर उसको डोनेट कर देना चाहिए अगर आपका बड डे सेलिब्रेशन करना है या आपको कही और पार्टी देना है तो आप ऐसे लोगो को डिनर करा दीजिए जिनको खाना नही मिलता है एक वक्त का,255381,14.76
data\processed\clips\clip_001649.wav,"नहीं नहीं , सर पर नो।",270296,3.6
data\processed\clips\clip_000977.wav,धन्यवाद।,255349,1.35
data\processed\clips\clip_004657.wav,मैं कहती हूँ कि अ जैसे मैं आह जिस जगह पे मैं रहती हूँ जैसे कि हम लोगों को अह जैसे आई टी कंपनीज के लिए हमें दूर दूर जाना पड़ता है,840793,10.44
data\processed\clips\clip_001121.wav,मतलब उन्होंने मतलब मुझे एकदम अच्छे से समझाया है हर चीज में पर कभी भी मेरे ऊपर किसी भी चीज का प्रेसर नहीं डाला ना पढ़ाई को लेके ना जॉब वगैरा को लेके कभी भी ऐसा नही हुआ मतलब उनका जो अनुशासन था हाँ,886193,12.96
data\processed\clips\clip_004323.wav,हम्म हम्मम तो हा फ्रेड्स नाते है उसमे येस मैम,319126,9.21
data\processed\clips\clip_001996.wav,"उसमें जाते हैं उन लोगों के लिए प्लान करते हैं बहुत सारे मतलब एक एंकर तो नहीं बोल सकते हैं, लेकिन हाँ, बहुत कुछ साथ में ओर्गनाइज करना उनके लिए सारा कुछ तो ये सारे चीजे हम लोग करते रहते हैं",350347,13.68
data\processed\clips\clip_001597.wav,जी किताबों के मुख्य विचारों को अनुभव से जोड़ना,282447,8.28
