reference,raw_asr,asr_number_normalized,number_norm_reasoning,asr_english_tagged,english_detection_reasoning,asr_full_pipeline,wer_raw,wer_num_norm,wer_num_delta,wer_impact_reasoning
मैंने एक बार ट्राई किया आ था रेडियो,"अग, मैंने ये वाज या ता और ये दिव","अग, मैंने ये वाज या ता और ये दिव",No number words — no normalization needed.,"अग, मैंने ये वाज या ता और ये दिव",No English words detected — utterance is pure Hindi.,"अग, मैंने ये वाज या ता और ये दिव",100.0,100.0,0.0,No WER change — no number words present in this utterance.
जी जी जी जी जी,जिए जिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजि�,जिए जिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजि�,No number words — no normalization needed.,जिए जिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजि�,No English words detected — utterance is pure Hindi.,जिए जिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजिजि�,100.0,100.0,0.0,No WER change — no number words present in this utterance.
हाँ जी,अची,अची,No number words — no normalization needed.,अची,No English words detected — utterance is pure Hindi.,अची,100.0,100.0,0.0,No WER change — no number words present in this utterance.
और एक अलग से अलग से फूर्तिला बन आता है वो यह बाते और उस बातों को याद करके हमको हसी भी आ जाती है हमने क्या क्या किया था हमारे कॉलेज दिनों में हमारे स्कूल के दिनों में हमने कितनी मस्तिया की थी,अपने क्या क्या क्या किया ता और और कुलेज दिनों में हमने कितनी मस्तिया कितिया या ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता,अपने क्या क्या क्या किया ता और और कुलेज दिनों में हमने कितनी मस्तिया कितिया या ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता,No number words — no normalization needed.,अपने क्या क्या क्या किया ता और और कुलेज दिनों में हमने कितनी मस्तिया कितिया या ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता,No English words detected — utterance is pure Hindi.,अपने क्या क्या क्या किया ता और और कुलेज दिनों में हमने कितनी मस्तिया कितिया या ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता और ता,147.73,147.73,0.0,No WER change — no number words present in this utterance.
जी जी हाँ हाँ,जीजी अगे,जीजी अगे,No number words — no normalization needed.,जीजी अगे,No English words detected — utterance is pure Hindi.,जीजी अगे,100.0,100.0,0.0,No WER change — no number words present in this utterance.
हां जी,भी अगर वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा �,भी अगर वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा �,No number words — no normalization needed.,भी अगर वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा �,No English words detected — utterance is pure Hindi.,भी अगर वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा वाँगा �,1500.0,1500.0,0.0,No WER change — no number words present in this utterance.
हां बिल्कुल बिल्कुल झूठ तो वैसे नहीं पसंद होता है किसी को भी सही बात है लेक हां आप जैसे कुछ बताना चाहेंगे इसके बारे में तो मेरे को पता चलेगा वैसे मेरे को थोड़ा आइडिया नहीं लग रहा है,अप जुड तो यह पसन था है किसी को भी बिल्कु सईबाते लेक अब जिसे कुज बताना चाइंगे अप तो मेरे को पता चलेगा रहा है नहीं तो मेरे को थो अड़ा अदिया नहीं रहीं रहीं,अप जुड तो यह पसन था है किसी को भी बिल्कु सईबाते लेक अब जिसे कुज बताना चाइंगे अप तो मेरे को पता चलेगा रहा है नहीं तो मेरे को थो अड़ा अदिया नहीं रहीं रहीं,No number words — no normalization needed.,अप जुड तो यह पसन था है किसी को भी बिल्कु सईबाते लेक अब जिसे कुज बताना चाइंगे अप तो मेरे को पता चलेगा रहा है नहीं तो मेरे को थो अड़ा अदिया नहीं रहीं रहीं,No English words detected — utterance is pure Hindi.,अप जुड तो यह पसन था है किसी को भी बिल्कु सईबाते लेक अब जिसे कुज बताना चाइंगे अप तो मेरे को पता चलेगा रहा है नहीं तो मेरे को थो अड़ा अदिया नहीं रहीं रहीं,72.5,72.5,0.0,No WER change — no number words present in this utterance.
हा सही कहा और प्रेशर भी नहीं होता है और अपने लिए फ्लेक्सीबल टाइमिंग्स मतलब कभी भी किसी की इजाजत लेके करने का कुछ भी नहीं रहता है इसमें जी,अपने लिए प्लिक्सिबल ताइमिंग्स मतलव कभी भी विस्विकी जाजक लेके करनेका पुजबी नहीं रहेता इस पे जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी ज,अपने लिए प्लिक्सिबल ताइमिंग्स मतलव कभी भी विस्विकी जाजक लेके करनेका पुजबी नहीं रहेता इस पे जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी ज,No number words — no normalization needed.,अपने लिए प्लिक्सिबल ताइमिंग्स मतलव कभी भी विस्विकी जाजक लेके करनेका पुजबी नहीं रहेता इस पे जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी ज,No English words detected — utterance is pure Hindi.,अपने लिए प्लिक्सिबल ताइमिंग्स मतलव कभी भी विस्विकी जाजक लेके करनेका पुजबी नहीं रहेता इस पे जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी ज,183.33,183.33,0.0,No WER change — no number words present in this utterance.
जी,जी,जी,No number words — no normalization needed.,जी,No English words detected — utterance is pure Hindi.,जी,0.0,0.0,0.0,Perfect transcription — pipeline had no impact.
चौथे दिन दूसरे गाम में मेला लगता है ऐसा चार दिन मेला लगता है ना हमारे उधर तो।,चाट दिन मेला लगता ना अमार उदर तो,चाट दिन मेला लगता ना अमार उदर तो,No number words — no normalization needed.,चाट दिन मेला लगता ना अमार उदर तो,No English words detected — utterance is pure Hindi.,चाट दिन मेला लगता ना अमार उदर तो,77.78,77.78,0.0,No WER change — no number words present in this utterance.
